zipcode,state
99501,AK
99701,AK
99801,AK
99901,AK
99950,AK
35201,AL
35401,AL
36101,AL
36201,AL
36801,AL
71749,AR
72201,AR
72401,AR
71601,AR
72801,AR
96799,AS
84536,AZ
85001,AZ
86044,AZ
86515,AZ
85201,AZ
89439,CA
90001,CA
94102,CA
95814,CA
97635,CA
80201,CO
80301,CO
81137,CO
80901,CO
80401,CO
06101,CT
06511,CT
06901,CT
06810,CT
06702,CT
19901,DE
19702,DE
19711,DE
19803,DE
19963,DE
32301,FL
33101,FL
33601,FL
32801,FL
33401,FL
30301,GA
30901,GA
31401,GA
39901,GA
30601,GA
96801,HI
96813,HI
96720,HI
96766,HI
96910,HI
83701,ID
83201,ID
83401,ID
83501,ID
83801,ID
60601,IL
62701,IL
61601,IL
63673,IL
60901,IL
46201,IN
46601,IN
47901,IN
46801,IN
47701,IN
50301,IA
52001,IA
51501,IA
50401,IA
52601,IA
66601,KS
67201,KS
66101,KS
67501,KS
66801,KS
40201,KY
42223,KY
40601,KY
41001,KY
42001,KY
70112,LA
70801,LA
71749,LA
71201,LA
70601,LA
04101,ME
04330,ME
04401,ME
04730,ME
04901,ME
02861,MA
02101,MA
01101,MA
02101,MA
01201,MA
21201,MD
21401,MD
20601,MD
21701,MD
21801,MD
48201,MI
48901,MI
49501,MI
48601,MI
49001,MI
55101,MN
55401,MN
55801,MN
56001,MN
55701,MN
39201,MS
39501,MS
38601,MS
39701,MS
39401,MS
63101,MO
65101,MO
64101,MO
63673,MO
65801,MO
59101,MT
59601,MT
59221,MT
59701,MT
59801,MT
68101,NE
68501,NE
69101,NE
68801,NE
69301,NE
89101,NV
89701,NV
89439,NV
89801,NV
89001,NV
03101,NH
03301,NH
03801,NH
03601,NH
03431,NH
07101,NJ
08601,NJ
07001,NJ
08901,NJ
08701,NJ
81137,NM
87101,NM
87501,NM
88001,NM
86515,NM
88063,NM
10001,NY
12201,NY
14201,NY
13201,NY
14901,NY
27601,NC
28201,NC
27101,NC
28401,NC
27801,NC
59221,ND
58501,ND
58101,ND
58201,ND
58701,ND
43201,OH
44101,OH
45201,OH
44301,OH
43501,OH
73101,OK
74101,OK
73949,OK
73701,OK
74601,OK
97201,OR
97301,OR
97401,OR
97635,OR
97701,OR
19101,PA
17101,PA
15201,PA
18101,PA
16501,PA
02861,RI
02901,RI
02801,RI
02840,RI
02814,RI
29201,SC
29401,SC
29601,SC
29501,SC
29301,SC
57101,SD
57501,SD
57701,SD
57201,SD
57401,SD
37201,TN
38101,TN
42223,TN
37401,TN
38301,TN
75201,TX
78701,TX
77001,TX
73949,TX
79901,TX
88063,TX
84101,UT
84536,UT
84601,UT
86044,UT
84401,UT
05601,VT
05401,VT
05301,VT
05701,VT
05201,VT
23219,VA
23501,VA
22101,VA
24016,VA
22801,VA
98101,WA
98501,WA
99201,WA
98801,WA
98661,WA
25301,WV
26101,WV
25701,WV
24701,WV
25401,WV
53201,WI
53701,WI
54301,WI
54701,WI
54401,WI
82001,WY
82601,WY
83001,WY
82701,WY
82801,WY
